Metric,Status,Target,Notes
Manufacturing_Readiness_Level,MRL_2,MRL_9,"Concept defined, need to reach full production"
Design_Status,AI_Analysis_Only,Validated_Design,"Professional FEA and prototyping required"
Tooling_Procurement,Not_Started,Complete,"$500k investment needed"
Facility_Status,Not_Identified,Operational,"1000m2 minimum required"
Supplier_Qualification,Not_Started,All_Qualified,"10+ suppliers to qualify"
Workforce_Training,Not_Started,Certified,"Multiple skill levels required"
Quality_System,Not_Started,AS9100_Certified,"Full quality management system"
Production_Capability,Zero,8_units_per_month,"Steady state target"
First_Unit_Target,Not_Set,Q4_2026,"Prototype phase"
Full_Rate_Target,Not_Set,2028,"Following LRIP phase"
Capital_Investment_Secured,No,Yes,"$450k+ equipment investment"
Certification_Readiness,Conceptual,Type_Certified,"Multiple certifications required"
