Paragraph,Title,Requirement_Summary,MOC,Evidence,Status,Comments
CS25.301,Loads,General_load_requirements,Analysis,AI_preliminary,Not_Started,Need_FEA
CS25.305,Strength_and_deformation,Limit_and_ultimate,Test,None,Not_Started,Test_required
CS25.307,Proof_of_structure,1.5x_limit_load,Test,None,Not_Started,Proof_test_required
CS25.365,Pressurization_loads,2.0x_relief_pressure,Test+Analysis,AI_estimate,Conceptual,17_psi_ultimate
CS25.571,Damage_tolerance,Fatigue_and_damage,Analysis+Test,AI_concept,Not_Started,120k_cycles
CS25.603,Materials,Material_suitability,Data+Test,Datasheets,Partial,Need_validation
CS25.613,Material_strength,Properties_and_values,Test,Literature,Not_Started,Coupon_tests
CS25.629,Aeroelastic_stability,Flutter_free,Analysis+GVT,AI_modal,CRITICAL,Resonance_risk
CS25.631,Bird_strike,1.8kg_at_Vc,Analysis,Conceptual,Not_Started,Panel_analysis
CS25.783,Doors,Opening_prevention,Test+Demo,None,Not_Started,Interlock_required
CS25.807,Emergency_exits,Type_A_requirements,Inspection,Design,Partial,Size_verified
CS25.809,Exit_arrangement,Adequate_distribution,Analysis,Layout,Complete,Meets_intent
CS25.810,Emergency_egress,Evacuation_capability,Demo,None,Not_Started,Slide_required
CS25.812,Emergency_lighting,Exit_marking,Inspection,None,Not_Started,System_design
CS25.853,Fire_protection,15_min_fire_resistance,Test,Material_cert,Partial,Panel_test_needed
CS25.954,Lightning_strike,Direct_effects,Test,None,Not_Started,Zone_1A_test
CS25.1301,Function,Proper_function,Demo,None,Not_Started,Operation_demo
CS25.1309,System_design,Failure_analysis,Analysis,FMEA,Partial,Draft_complete
CS25.1316,Electrical_installation,Electrical_requirements,Inspection+Test,None,Not_Started,If_electrical
CS25.1419,Ice_protection,Ice_accumulation,Analysis,None,Not_Started,If_required
CS25.1435,Hydraulic_systems,System_requirements,Test+Analysis,None,Not_Started,If_hydraulic
