Item_Number,Description,Part_Number,Unit,Quantity_Per_Task,Usage,Specification,Shelf_Life_Months
CONS-001,Cleaning Solvent (Approved),MIL-PRF-680,Quart,1,Seal cleaning before installation,Non-residue aviation cleaner,24
CONS-002,Lubricant (Hinge),MIL-PRF-23827,Tube (4oz),1,Hinge lubrication,Type II grease,36
CONS-003,Lubricant (Latch),MIL-PRF-81322,Tube (2oz),1,Latch mechanism,Dry film lubricant,24
CONS-004,Thread Locking Compound,MIL-S-46163,Tube (10ml),1,Fastener installation,Medium strength,12
CONS-005,Sealant (Structural),MIL-S-8802,Cartridge (310ml),2,Seal attachment,Polysulfide sealant,6
CONS-006,Anti-Seize Compound,MIL-A-907,Tube (4oz),1,Threaded connections,Nickel based,60
CONS-007,Contact Cleaner (Electrical),MIL-PRF-29608,Spray (12oz),1,Electrical connector cleaning,Fast drying,36
CONS-008,Isopropyl Alcohol 99%,IPA-99,Bottle (500ml),1,General cleaning,USP grade,No limit
CONS-009,Lint-Free Wipes,MIL-W-19,Box (100),1,General cleaning,Class 100 cleanroom,No limit
CONS-010,Protective Gloves (Nitrile),ASTM D6319,Box (100),1,Handler protection,Chemical resistant,60
CONS-011,Masking Tape (High-Temp),MIL-T-52756,Roll,1,Surface protection,Up to 350°F,No limit
CONS-012,Torque Seal,AS3267,Tube (1oz),1,Fastener verification,Indicates loosening,24
CONS-013,Corrosion Inhibitor,MIL-C-16173,Spray (12oz),1,Storage protection,Grade 1,36
CONS-014,Cable Ties (Various),MS3367,Bag (100),1,Harness securing,UV resistant,No limit
CONS-015,Heat Shrink Tubing Kit,MIL-I-23053,Set,1,Wire repair,3:1 ratio,No limit
