Requirement_ID,Description,Interface_Type,Criticality,Verification,Status,Rationale
RQ-52-20-01-070,Fuselage_Cutout_Dimensions,Physical,Critical,Inspect,Defined,Structural interface
RQ-52-20-01-071,Mounting_Bolt_Pattern_16x,Physical,Critical,Inspect,Defined,Installation standardization
RQ-52-20-01-072,Electrical_Power_28VDC_5A,Electrical,High,Test,Defined,Door actuators
RQ-52-20-01-073,Hydraulic_Supply_3000psi,Fluid,High,Test,Defined,Power assist system
RQ-52-20-01-074,ARINC_429_Data_Bus,Data,High,Test,Defined,Status reporting
RQ-52-20-01-075,Warning_System_Discrete_IO,Electrical,Critical,Test,Defined,Alert signals
RQ-52-20-01-076,Emergency_Lighting_Interface,Electrical,Critical,Test,Defined,Evacuation lighting
RQ-52-20-01-077,Cabin_Pressure_Sensor_Input,Signal,Critical,Test,Defined,Interlock function
RQ-52-20-01-078,Temperature_Sensor_Interface,Signal,High,Test,Defined,Environmental monitoring
RQ-52-20-01-079,Door_Position_LVDT_Output,Signal,High,Test,Defined,Position feedback
RQ-52-20-01-080,Slide_Pressure_Transducer,Signal,Critical,Test,Defined,Inflation status
RQ-52-20-01-081,Ground_Support_Connector,Physical,High,Inspect,Defined,Maintenance access
RQ-52-20-01-082,Pneumatic_Slide_Inflation,Fluid,Critical,Test,Defined,Emergency deployment
RQ-52-20-01-083,Fire_Detection_System_Input,Signal,High,Test,Defined,Safety monitoring
RQ-52-20-01-084,CAOS_Data_Interface_Ethernet,Data,Medium,Test,Defined,Predictive maintenance
RQ-52-20-01-085,Audio_Alert_Speaker_Output,Electrical,High,Test,Defined,Crew warning
RQ-52-20-01-086,Mechanical_Girt_Bar_Interface,Physical,Critical,Inspect,Defined,Slide attachment
RQ-52-20-01-087,Floor_Beam_Load_Transfer,Physical,Critical,Analysis,Defined,Structural support
RQ-52-20-01-088,Seal_Compression_Interface,Physical,High,Inspect,Defined,Pressure containment
RQ-52-20-01-089,De-icing_Heating_Element,Electrical,High,Test,Defined,Cold weather operation
RQ-52-20-01-090,Lightning_Protection_Bonding,Electrical,Critical,Test,Defined,Electrical continuity
RQ-52-20-01-091,EMI_Shielding_Interface,Electrical,High,Test,Defined,DO-160G compliance
