Requirement_ID,Verification_Method,Test_ID,Procedure,Success_Criteria,Status,Comments
RQ-52-20-01-001,Test,STR-001,Static_Ultimate_Test,No_failure_at_150%_DLL,Planned,FEA_first
RQ-52-20-01-020,Test,FNC-001,Emergency_Opening_Test,Opens_all_modes,Planned,Multiple_configs
RQ-52-20-01-050,Test,PER-001,Opening_Time_Measurement,<3sec_powered,Planned,Statistical_sample
RQ-52-20-01-051,Test,PER-002,Manual_Opening_Test,<8sec_manual,Planned,95th_percentile
RQ-52-20-01-070,Analysis,INT-001,FEA_Interface_Loads,Positive_margins,In_Work,Need_Pro_FEA
RQ-52-20-01-100,Analysis,SAF-001,Fault_Tree_Analysis,<10E-9_probability,Planned,After_design_freeze
RQ-52-20-01-101,Test,SAF-002,Pressure_Interlock_Test,No_opening_>0.2psi,Planned,Ground_test
RQ-52-20-01-140,Demo,OPS-001,Crew_Operation_Demo,Successful_operation,Planned,Training_mockup
RQ-52-20-01-150,Inspection,MNT-001,Inspection_Interval_Validation,Detect_damage,Planned,Service_data
RQ-52-20-01-180,Demo,CAOS-001,Digital_Twin_Demo,Real_time_sync,Planned,With_prototype
