Drawing_Number,Title,Zone,Type,CI_Reference,Assembly_ID,Revision,Status,CAD_File,Owner,Checker,Approver,Last_Updated,Comments
53-40-0000,Zone 400 General Arrangement,400,GA,CI-53-400-00,,A,Draft,Q100_53-40-0000_Zone_400_General_Arrangement.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-1000,Forward Wing Spar Assembly,400,Assembly,CI-53-400-10,ASM-53-400-100,A,Draft,Q100_53-40-1000_Forward_Wing_Spar_Assembly.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-1001,Forward Spar Web Details,400,Detail,CI-53-400-10,,A,Draft,Q100_53-40-1001_Forward_Spar_Web_Details.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-1002,Forward Spar Upper Cap Details,400,Detail,CI-53-400-10,,A,Draft,Q100_53-40-1002_Forward_Spar_Upper_Cap_Details.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-1003,Forward Spar Lower Cap Details,400,Detail,CI-53-400-10,,A,Draft,Q100_53-40-1003_Forward_Spar_Lower_Cap_Details.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-1004,Wing Attachment Fitting 01,400,Detail,CI-53-400-10,,A,Draft,Q100_53-40-1004_Wing_Attachment_Fitting_01.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-1005,Wing Attachment Fitting 02,400,Detail,CI-53-400-10,,A,Draft,Q100_53-40-1005_Wing_Attachment_Fitting_02.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-1100,Rear Wing Spar Assembly,400,Assembly,CI-53-400-11,ASM-53-400-110,A,Draft,Q100_53-40-1100_Rear_Wing_Spar_Assembly.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-2000,Wing Rib 01 Assembly,400,Assembly,CI-53-400-20,ASM-53-400-200,A,Draft,Q100_53-40-2000_Wing_Rib_01_Assembly.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-3000,MLG Bay Left Assembly,400,Assembly,CI-53-400-30,ASM-53-400-300,A,Draft,Q100_53-40-3000_MLG_Bay_Left_Assembly.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-3001,MLG Beam Left Details,400,Detail,CI-53-400-30,,A,Draft,Q100_53-40-3001_MLG_Beam_Left_Details.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-3002,MLG Bay Left Bulkhead Forward,400,Detail,CI-53-400-30,,A,Draft,Q100_53-40-3002_MLG_Bay_Left_Bulkhead_Forward.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-3003,MLG Bay Left Bulkhead Aft,400,Detail,CI-53-400-30,,A,Draft,Q100_53-40-3003_MLG_Bay_Left_Bulkhead_Aft.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-3004,MLG Attachment Fitting L1,400,Detail,CI-53-400-30,,A,Draft,Q100_53-40-3004_MLG_Attachment_Fitting_L1.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-3100,MLG Bay Right Assembly,400,Assembly,CI-53-400-31,ASM-53-400-310,A,Draft,Q100_53-40-3100_MLG_Bay_Right_Assembly.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-4000,Cargo Door Forward Left Frame,400,Assembly,CI-53-400-40,ASM-53-400-400,A,Draft,Q100_53-40-4000_Cargo_Door_Forward_Left_Frame.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-4010,Cargo Door Forward Right Frame,400,Assembly,CI-53-400-40,ASM-53-400-401,A,Draft,Q100_53-40-4010_Cargo_Door_Forward_Right_Frame.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-4020,Cargo Door Aft Left Frame,400,Assembly,CI-53-400-40,ASM-53-400-402,A,Draft,Q100_53-40-4020_Cargo_Door_Aft_Left_Frame.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-4030,Cargo Door Aft Right Frame,400,Assembly,CI-53-400-40,ASM-53-400-403,A,Draft,Q100_53-40-4030_Cargo_Door_Aft_Right_Frame.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-5000,Wing Box Splice Forward,400,Joint,CI-53-400-50,,A,Draft,Q100_53-40-5000_Wing_Box_Splice_Forward.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
53-40-5100,Wing Box Splice Aft,400,Joint,CI-53-400-51,,A,Draft,Q100_53-40-5100_Wing_Box_Splice_Aft.svg,Engineering,QA,Authority,2025-11-24,"Placeholder drawing - awaiting detail"
