MSN,Build_Standard,Baseline_Dimensions_Version,CAD_Model_Release,Overall_Length_m,Wingspan_m,Overall_Height_m,Wing_Area_m2,Center_Body_Width_m,Manufacturing_Start_Date,Final_Assembly_Date,Delivery_Date,Customer,Status,Dimensional_Deviations,Notes
MSN-P001,BS-001,v1.0,R1.0,48.52,65.03,12.82,851.2,22.01,2027-01-15,2027-06-30,N/A,Internal (Flight Test),Complete,NCR-2027-042 (belly clearance -0.01m accepted),Prototype with test instrumentation
MSN-PP001,BS-002,v2.0,R2.0,48.48,64.98,12.79,849.8,21.99,2027-09-01,2028-01-15,2028-03-01,Launch Customer A,In Progress,None to date,First pre-production aircraft
MSN-PP002,BS-002,v2.0,R2.0,TBD,TBD,TBD,TBD,TBD,2027-10-01,2028-02-20,2028-04-15,Launch Customer A,Planned,N/A,Second pre-production aircraft
MSN-PP003,BS-002,v2.0,R2.0,TBD,TBD,TBD,TBD,TBD,2027-11-01,2028-03-25,2028-05-20,Launch Customer B,Planned,N/A,
MSN-PP004,BS-002,v2.0,R2.0,TBD,TBD,TBD,TBD,TBD,2027-12-01,2028-04-30,2028-06-25,Launch Customer B,Planned,N/A,
MSN-PP005,BS-002,v2.0,R2.0,TBD,TBD,TBD,TBD,TBD,2028-01-15,2028-06-05,2028-08-01,Launch Customer C,Planned,N/A,
MSN-PP006,BS-002,v2.0,R2.0,TBD,TBD,TBD,TBD,TBD,2028-02-15,2028-07-10,2028-09-05,Launch Customer C,Planned,N/A,
MSN-PP007,BS-002,v2.0,R2.0,TBD,TBD,TBD,TBD,TBD,2028-03-15,2028-08-15,2028-10-10,Internal (Demo Aircraft),Planned,N/A,Retained for demonstrations
MSN-PP008,BS-002,v2.0,R2.0,TBD,TBD,TBD,TBD,TBD,2028-04-15,2028-09-20,2028-11-15,Launch Customer D,Planned,N/A,
MSN-PP009,BS-002,v2.0,R2.0,TBD,TBD,TBD,TBD,TBD,2028-05-15,2028-10-25,2028-12-20,Launch Customer D,Planned,N/A,
MSN-PP010,BS-002,v2.0,R2.0,TBD,TBD,TBD,TBD,TBD,2028-06-15,2028-11-30,2029-01-25,Launch Customer E,Planned,N/A,Last pre-production aircraft
MSN-001,BS-003,v3.0,R3.0,TBD,TBD,TBD,TBD,TBD,2029-03-01,2029-07-15,2029-09-10,Customer F,Planned,N/A,First production standard aircraft
MSN-002,BS-003,v3.0,R3.0,TBD,TBD,TBD,TBD,TBD,2029-04-01,2029-08-20,2029-10-15,Customer F,Planned,N/A,
MSN-003,BS-003,v3.0,R3.0,TBD,TBD,TBD,TBD,TBD,2029-05-01,2029-09-25,2029-11-20,Customer G,Planned,N/A,
MSN-004,BS-003,v3.0,R3.0,TBD,TBD,TBD,TBD,TBD,2029-06-01,2029-10-30,2029-12-25,Customer G,Planned,N/A,
MSN-005,BS-003,v3.0,R3.0,TBD,TBD,TBD,TBD,TBD,2029-07-01,2029-12-05,2030-02-01,Customer H,Planned,N/A,
MSN-006,BS-003,v3.0,R3.0,TBD,TBD,TBD,TBD,TBD,2029-08-01,2030-01-10,2030-03-10,Customer H,Planned,N/A,
MSN-007,BS-003,v3.0,R3.0,TBD,TBD,TBD,TBD,TBD,2029-09-01,2030-02-15,2030-04-15,Customer I,Planned,N/A,
MSN-008,BS-003,v3.0,R3.0,TBD,TBD,TBD,TBD,TBD,2029-10-01,2030-03-20,2030-05-20,Customer I,Planned,N/A,
MSN-009,BS-003,v3.0,R3.0,TBD,TBD,TBD,TBD,TBD,2029-11-01,2030-04-25,2030-06-25,Customer J,Planned,N/A,
MSN-010,BS-003,v3.0,R3.0,TBD,TBD,TBD,TBD,TBD,2029-12-01,2030-06-01,2030-08-01,Customer J,Planned,N/A,
