Module_ID,Module_Title,Target_Audience,Duration_Hours,Type,Prerequisites
CBT-001,Aircraft Overview,All,2.0,Interactive,None
CBT-002,BWB Aerodynamics,Pilots,1.5,Interactive,CBT-001
CBT-003,H₂ Fuel System,All,3.0,Interactive + Video,CBT-001
CBT-004,Fuel Cell Propulsion,Pilots/Mx,2.5,Interactive,CBT-003
CBT-005,CAOS System Introduction,All,2.0,Interactive,CBT-001
CBT-006,CAOS Flight Operations,Pilots,3.0,Simulation,CBT-005
CBT-007,H₂ Safety Fundamentals,All,2.0,Video + Quiz,CBT-003
CBT-008,Emergency Procedures,Pilots,2.5,Simulation,CBT-002+004
CBT-009,Maintenance Procedures,Mx,4.0,Interactive + AR,CBT-001+003
CBT-010,Digital Twin Operations,Mx,1.5,Interactive,CBT-005
CBT-011,Predictive Maintenance,Mx,2.0,Interactive,CBT-010
CBT-012,S1000D Documentation,Mx,1.0,Interactive,None
