Test_ID,Parameter,Target,Unit,Status,Result,Date,Notes
VER-02-10-301,Passenger Capacity,220,seats,Planned,TBD,2026-Q2,Dual-class configuration
VER-02-10-301,Business Class,40,seats,Planned,TBD,2026-Q2,2-2-2 layout
VER-02-10-301,Economy Class,180,seats,Planned,TBD,2026-Q2,3-3-3 layout
VER-02-10-302,Total Cargo Volume,105,m³,Planned,TBD,2026-Q2,All compartments
VER-02-10-302,Forward Cargo,35,m³,Planned,TBD,2026-Q2,LD3-45 compatible
VER-02-10-302,Aft Cargo,55,m³,Planned,TBD,2026-Q2,LD3-45 compatible
VER-02-10-302,Bulk Cargo,15,m³,Planned,TBD,2026-Q2,Loose cargo
VER-02-10-302,Max Cargo Weight,15000,kg,Planned,TBD,2026-Q2,Structural limit
VER-02-10-303,H2 Fuel Capacity,8000,kg,Planned,TBD,2026-Q2,Usable fuel
VER-02-10-303,Tank Volume,120000,liters,Planned,TBD,2026-Q2,At operating pressure
