Storage_ID,95-20_Subsystems,95-30_Circularity,95-50_Structures,95-40_Software,ATA_Primary,ATA_Secondary,Design_Phase,Test_Phase,Integration_Phase,Cert_Phase,Maintenance_Phase,Notes
S-21-001,95-20-21-ECS-ThermalMgmt,95-30-21-ECS-Lifecycle,95-50-21-ECS-Mounting,95-40-21-ECS-Control,ATA-21,ATA-24,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Primary thermal buffer for cabin air
S-21-002,95-20-21-ECS-ThermalMgmt,95-30-21-ECS-Lifecycle,95-50-21-ECS-Mounting,95-40-21-ECS-Control,ATA-21,ATA-24,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Secondary thermal buffer backup
S-21-003,95-20-21-ECS-CabinAir,95-30-21-ECS-Lifecycle,95-50-21-ECS-Mounting,95-40-21-ECS-Control,ATA-21,,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Cabin air temperature buffering
S-24-001,95-20-24-Electrical-BatteryPacks,95-30-24-Battery-Lifecycle,95-50-24-Battery-Installation,95-40-24-Battery-BMS,ATA-24,ATA-80,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Forward main battery 250 kWh
S-24-002,95-20-24-Electrical-BatteryPacks,95-30-24-Battery-Lifecycle,95-50-24-Battery-Installation,95-40-24-Battery-BMS,ATA-24,ATA-80,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Aft main battery 250 kWh
S-24-003,95-20-24-Electrical-Supercaps,95-30-24-Battery-Lifecycle,95-50-24-Battery-Installation,95-40-24-Battery-BMS,ATA-24,ATA-49,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Start and transient power buffering
S-24-004,95-20-24-Electrical-BackupPower,95-30-24-Battery-Lifecycle,95-50-24-Battery-Installation,95-40-24-Battery-BMS,ATA-24,ATA-31,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Flight-critical systems backup
S-28-001,95-20-28-H2-CryogenicTanks,95-30-28-H2-Lifecycle,95-50-28-H2-TankStructure,95-40-28-H2-TankMonitoring,ATA-28,ATA-70,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Starboard LH2 main tank 500 kg
S-28-002,95-20-28-H2-CryogenicTanks,95-30-28-H2-Lifecycle,95-50-28-H2-TankStructure,95-40-28-H2-TankMonitoring,ATA-28,ATA-70,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Port LH2 main tank 500 kg
S-28-003,95-20-28-H2-Distribution,95-30-28-H2-Lifecycle,95-50-28-H2-TankStructure,95-40-28-H2-TankMonitoring,ATA-28,ATA-70,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,H2 buffer tank 50 kg
S-29-001,95-20-29-Hydraulic-Reservoirs,95-30-29-Hydraulic-Lifecycle,95-50-29-Hydraulic-Mounting,95-40-29-Hydraulic-Monitoring,ATA-29,ATA-27,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Main hydraulic reservoir 40 L
S-29-002,95-20-29-Hydraulic-Accumulators,95-30-29-Hydraulic-Lifecycle,95-50-29-Hydraulic-Mounting,95-40-29-Hydraulic-Monitoring,ATA-29,ATA-27,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Flight control accumulator 8 L
S-29-003,95-20-29-Hydraulic-Accumulators,95-30-29-Hydraulic-Lifecycle,95-50-29-Hydraulic-Mounting,95-40-29-Hydraulic-Monitoring,ATA-29,ATA-32,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Landing gear accumulator 12 L
S-29-004,95-20-29-Hydraulic-Accumulators,95-30-29-Hydraulic-Lifecycle,95-50-29-Hydraulic-Mounting,95-40-29-Hydraulic-Monitoring,ATA-29,ATA-32,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Brake accumulator 6 L
S-31-001,95-20-31-DataRecording-FDR,95-30-31-DataRec-Lifecycle,95-50-31-DataRec-Installation,95-40-31-DataRec-Software,ATA-31,ATA-46,04_Design,07_Test,08_Integration,09_Certification,10_Maintenance,Flight data recorder 25 hrs
