Parameter,Requirement,AMPEL360_Value,Compliant,Notes
ICAO_Aerodrome_Code,—,E,Yes,Wingspan 52m (52 < 65m)
Aerodrome_Reference_Code,4E,4E,Yes,Field length ≥1800m wingspan 52-65m
Runway_Width_Min,45,45,Yes,ICAO Code E requirement
Taxiway_Width_Min,23,23,Yes,ICAO Code E requirement
Taxiway_Edge_Clearance,9.25,9.25,Yes,Each side of centerline
Total_Cleared_Width,41.5,56.0,Yes,AMPEL360 requires 56m
Apron_Stand_Width,60,60,Yes,Including wingtip clearances
Gate_Type,Wide-body,Wide-body,Yes,Code V/VI compatible
Passenger_Bridge_Height,2.5-6.5m,4.3m,Yes,Door sill within range
Bridge_Type,Adjustable,Standard,Yes,No special bridge needed
Cargo_Loader_Height,2.0-3.0m,2.2m,Yes,Standard wide-body loaders
Hangar_Door_Width,56,56,Yes,Wingspan + clearance
Hangar_Door_Height,16,16,Yes,Height + clearance
Turning_Radius,—,42,Yes,Meets Code E
Parking_Stand_Length,44.2,44.2,Yes,Length + clearances
Compatible_Airports,—,500+,Yes,All major Code E airports
Boeing_777_Gate,Compatible,Compatible,Yes,Similar dimensions
Airbus_A350_Gate,Compatible,Compatible,Yes,Similar dimensions
Boeing_747_Gate,Restricted,Restricted,Partial,Some gates too narrow
Fuel_Truck_Access,H₂ capable,Special,No,Requires H₂ ground equipment
Standard_Tow_Bar,6m,6m,Yes,Standard length compatible
Pushback_Tractor,Standard,Standard,Yes,Wide-body class
Deicing_Equipment,—,Large,Yes,Wide-body capable equipment
Fire_Category,—,Cat 9,Yes,Based on length (38.2m)
